Company,NET Income,Operating Income,Total Assets,Number of Employees,Buyers
CCW,18416,26351,126593,117,[WEH;XCD;EBC;AHU;YGH]
LUB,50709,98033,421356,597,[YGH;IJY;HTQ;BSY;PEA]
HEN,35983,61321,275443,335,[PEA;RUD]
QXS,68275,150649,620622,1004,[RUD;EEO;TXU]
APX,10568,13831,68958,53,[ZCL;TXU;BSC]
VZK,85842,212868,847327,1514,[BSC;WMN;NPL;IBA;RCX;CRH]
FRO,28134,44510,205546,225,[VTQ;CRH;MUS;LJL]
ACB,13409,18142,89190,74,[LJL;ENK;YNS;YUR;PKA;LVM]
KUG,45701,84791,369572,500,[HRW;LVM;EBL;PXJ]
TMK,77994,183885,742655,1273,[PXJ;CPC;JNZ]
PWX,63268,134673,561027,878,[JNZ;WNN;YWG;FIE]
YOC,95560,251413,984525,1840,[FIE;AYJ]
IGH,37853,65609,292903,364,[AYJ;ICQ;VFV;GWH;SFS;HXE]
DRT,23127,34787,163818,166,[HXE;XJB]
NJY,55419,111199,472095,696,[XJB;RPK]
ITL,40693,72330,320016,411,[RPK;AIW;KOY]
SLP,72986,166392,678725,1131,[KOY;EEU;JNQ;MDH]
BDU,15278,21115,102891,89,[MDH;MYC]
XOH,90553,231186,912786,1668,[MYC;LFR;NLP;JIB]
GGM,32845,54370,246841,289,[JIB;MBP;HGP;EFE]
PYQ,65137,140546,583013,924,[EFE;NXY]
LID,50412,97226,418222,591,[NXY;KCE;KUV;BJS]
VAI,82704,201050,804818,1415,[BJS;OXE;XCA;XCG;SYQ;WAK]
QLU,67978,149680,617024,996,[WAK;BVX;BJG;NJS;KAI]
ADZ,10271,13395,66885,51,[KAI;VMJ]
JVE,42563,76891,338259,443,[VMJ;MTJ;ZLX;JEP]
FFQ,27837,43912,203009,221,[JEP;HRQ]
OXV,60130,125058,524815,803,[HRQ;ZZK;IKH;XYJ]
XPA,92422,238645,939306,1731,[XYJ;VNP;HQA;DER]
TAN,77696,182823,738791,1265,[VMD;DER;DSS;FWM;LSE]
CSR,19989,29091,138803,133,[LSE;UXZ;INO;MKF]
YCE,95263,250191,980207,1830,[MKF;NSE]
HUJ,37555,64919,290101,360,[NSE;EPJ;XSW;LPN]
RMO,69848,155829,639802,1045,[LPN;MBJ]
NXA,55122,110349,468837,690,[MBJ;FJU;UUY;AKG;HVR;YOF]
WPF,87415,218907,868963,1564,[YOF;HLQ;RCX;TFI]
FHK,29707,47726,219115,246,[TFI;WTU]
BRW,14981,20636,100693,87,[WTU;LSI;NIA;RKQ]
KKB,47274,88866,385596,530,[RKQ;HLE]
GUO,32548,53728,244179,285,[HLE;BRU;VNR;XSP;RGZ;UZG]
PMT,64840,139605,579498,916,[UZG;JMN;ZHP;HGY;JBS]
ZEX,97133,257927,1007520,1896,[JBS;FAA;EBD;HXY]
UPK,82407,199947,800839,1406,[HXY;DDD]
EHP,24699,37756,176679,184,[DDD;MKG;AWT;BSN;SHC;AIW]
NZT,56992,115750,489478,731,[AIW;CZY;HVD]
JJG,42266,76160,335341,438,[SMS;HVD;NHX]
SBL,74558,171800,698555,1175,[NHX;ICW;DHS]
OMX,59833,124164,521432,796,[DHS;PNE;SUY;SBG;XDX;ZSD]
XEC,92125,237452,935070,1721,[QFX;ZSD;QNL;UBY]
HWH,34417,57814,261061,312,[UBY;VSU;JUC;EFK;YCN;MWB]
CGU,19692,28568,136480,130,[AQZ;MWB;IZJ;HWC]
MYY,51984,101529,434897,623,[HWC;GVN;ASW;YZA;MXM;GKU]
VQD,84277,206935,826015,1464,[GKU;GPV]
RBQ,69551,154845,636163,1038,[GPV;ODP;CXC;CBR;MIP;WZN]
ATV,11843,15735,77949,62,[WZN;YMR;GQO;ASH;STF]
WDH,87117,217758,864850,1555,[STF;PGQ;GAZ;DPR;HWK]
FVM,29410,47113,216536,242,[HWK;WWK]
ONR,61702,129837,542848,840,[NHW;WWK]
KYD,46976,88089,382545,524,[WWK;SSX;OIU]
UQI,79269,188463,759289,1311,[OIU;FFA;IPZ;FHV]
DIN,21561,31907,151225,149,[FHV;VUQ]
ZSZ,96836,256691,1003160,1885,[VUQ;BTT;SCT;EMC]
IKE,39128,68595,304987,385,[EMC;OQT]
EVR,24402,37189,174233,180,[OQT;AJJ;JCA;LOI;BKK;UCG]
NNW,56695,114884,486178,724,[UCG;MCD;QVZ;SUN;UTQ]
WFA,88987,225021,890809,1616,[UTQ;ZHE;RYE;GSS]
SPN,74261,170772,694791,1166,[GSS;OQQ]
BHS,16554,23207,112423,100,[OQQ;MPZ;UZG;VQS;PJM;OWA]
LZX,48846,93016,401832,560,[OWA;PBL;KLR;IKZ;IOQ]
GKJ,34120,57158,258357,307,[SVB;IOQ;MVI]
QCO,66413,144616,598198,956,[MVI;ZRP;NNW;RJD;RFZ;BXF]
MMB,51687,100710,431729,617,[ARK;BXF;ZRJ;UNF]
VEF,83979,205815,821986,1455,[UNF;SKO;FPT;MWS;UDL;BXX]
EXK,26272,40803,189768,202,[BXX;UBW;OPT;RJC;QNL]
AHX,11546,15287,75842,60,[QNL;APP;TDZ;TQW]
JZC,43838,80065,350877,466,[TQW;VGX;JFS;YCE]
TRG,76131,177287,718613,1219,[YCE;DDI]
OCT,61405,128928,539424,833,[DDI;RBL;WPS;XHM]
YUY,93698,243799,957585,1775,[XHM;LQF]
TEK,78972,187392,755401,1302,[LQF;YKB;IYZ;AMQ;HQD;YHP]
DWP,21264,31369,148861,146,[YHP;GRE]
MOU,53557,105911,451800,656,[GRE;VYE]
IZG,38831,67895,302159,380,[JRP;VYE]
RRL,71123,160084,655513,1080,[VYE;XWT;ZAS]
AJQ,13416,18153,89240,74,[ZAS;IPF;ANU;ECP]
WTD,88690,223859,886664,1606,[ECP;PGQ]
GLH,30982,50389,230275,263,[PGQ;WVV;ORA;BYP]
BWU,16257,22716,110191,98,[BYP;NTY;AQW;WEM]
LOZ,48549,92226,398747,554,[WEM;FMM]
UGE,80841,194178,779996,1358,[FMM;SUI;TZF;HUZ]
QQQ,66116,143664,594650,948,[HUZ;KLX;NML;VUH;TUL;VTW]
ZIV,98408,263265,1026323,1942,[VTW;TUF;CSV;ISX;CZP]
IAA,40700,72347,320084,411,[CZP;PPX]
ELM,25975,40222,187279,199,[PPX;PLO;FUZ;BEX]
NDR,58267,119495,503731,760,[BEX;EKW]
JNE,43541,79321,347925,461,[EKW;GDN;DMX]
TFI,75834,176244,714808,1211,[FHK;DMX;NAY]
CXN,18126,25855,124365,115,[NAY;HJI;ZPI;UFE]
YIA,93400,242592,953306,1765,[UFE;TLO;KGM;CGA;SAP;BCQ]
HAF,35693,60666,272763,331,[BCQ;EJN;GUW;EAF;FDM]
QSJ,67985,149703,617109,996,[FDM;ABI;RGO;HZJ;MTF]
MCW,53259,105076,448582,650,[MTF;SAU]
VUB,85552,211763,843361,1505,[SAU;MQR;MAE]
RFN,70826,159088,651840,1072,[MAE;PWS;DVQ;LFQ]
AXS,13119,17691,87092,72,[LFQ;OJI]
KPX,45411,84048,366641,495,[OJI;YLB;NQJ;JJY]
FZK,30685,49764,227663,259,[JJY;NSC]
PRO,62978,133771,557643,870,[NSC;VAD;YSO;ULV;LRX;TSS]
YKT,95270,250220,980309,1830,[TSS;XRW;EVC;TOR;PVH]
UUG,80544,193093,776067,1349,[PVH;LQF;ZQZ;QEB]
DML,22837,34248,161469,163,[QEB;IYO]
ZWX,98111,262017,1021930,1931,[IYO;VNL;PXA;WXU;BQU;HOY]
IPC,40403,71632,317215,406,[HOY;UYG]
SHH,72696,165403,675091,1123,[JYN]
NRT,57970,118618,500398,753,[UYG;KQA]
XJY,90262,230035,908689,1658,[KQA;WKC;JUU]
GBD,32555,53743,244242,285,[JUU;WWE;NMW;TKR]
CMP,17829,25349,122092,112,[TKR;XJC]
LEU,50121,96438,415162,585,[XJC;RLG;EOB;UTB]
HOH,35396,59998,270026,326,[UTB;IIM;GKR;BUK]
QGM,67688,148736,613519,989,[BUK;PQT]
ZYQ,99981,269919,1049716,1999,[PQT;KLX;CXD;JWT]
VJD,85255,210634,839307,1495,[JWT;VIM;JLC;WHC;HYD;XUE]
FBI,27547,43330,200539,218,[XUE;YKC;QZT;GYA;RHS]
OTN,59840,124185,521512,796,[RHS;LZA]
KDZ,45114,83290,363647,489,[LZA;JZI;HWF;QLZ]
TVE,77406,181791,735036,1256,[QLZ;IKL]
PGR,62680,132849,554177,863,[IKL;XQI;AMR;RAN]
YYV,94973,249000,975999,1819,[RAN;ENU;DRG;XWW]
HQA,37265,64249,287380,355,[XWW;ZHC;BCQ;WQI;EXZ;TOK]
DAN,22540,33698,159072,159,[TOK;XHD;UNQ;CGI;QVF]
MSR,54832,109521,465663,683,[QVF;WLK;YPI;IAR;BBI]
WKW,87124,217785,864947,1555,[BBI;NJF]
SVJ,72399,164392,671377,1114,[NJF;AOW;MOX;YOD]
XXA,89965,228862,904510,1648,[YOD;UVN;ZMT;MHL;MXG;TFK]
GPF,32258,53104,241588,280,[TFK;CGN;HTT;KNW;CKX]
PHK,64550,138689,576074,909,[CKX;KRO;OMY;WUU;HBS]
LSW,49824,95637,412044,579,[HBS;HDX]
UKB,82117,198872,796962,1397,[HDX;XGN;CDB]
ECG,24409,37202,174290,180,[CDB;SQT;CJV;FMD]
ZMT,99683,268653,1045270,1988,[FMD;YIH]
JEX,41976,75448,332499,433,[YIH;SRV;TNE;QSA;LZH;FCH]
EPK,27250,42737,198017,214,[FCH;OWW;NDL]
OHP,59542,123291,518129,789,[NDL;LYW;PZC;NHS]
XZU,91835,236291,930943,1711,[NHS;AMG;IUN;ZWS;AWN;VWJ]
TJG,77109,180737,731197,1248,[VWJ;NFH;RWA;YLK;QCM]
CCL,19402,28060,134220,127,[QCM;RDJ]
HEC,36968,63566,284602,351,[RDJ;EAR;HPA;PGT]
RWH,69261,153886,632617,1030,[PGT;VKX]
MHU,54535,108675,462421,677,[VKX;XVC;JPW;SCF;QGY;RHS]
WZY,86827,216641,860852,1545,[RNZ]
FRD,29120,46517,214025,238,[RHS;UFI]
BBQ,14394,19696,96372,82,[UFI;NTO;XZI;EUM;RTC;UEO]
KTV,46686,87334,379581,518,[UEO;WBX;ATS;KOJ;YQP]
TLZ,78979,187418,755492,1302,[YQP;FTH;VDQ;YQX;ODU]
PWM,64253,137754,572575,902,[ODU;WCF]
UYD,81820,197775,792999,1388,[WCF;YQB;EWL]
EQI,24112,36638,171851,177,[ZBA;EWL;HCT]
NIN,56404,114040,482956,718,[HCT;WDT;CXA;QXU;ZJS;TWN]
JTA,41679,74721,329595,428,[TWN;BBI;RZJ;RVC;UYX]
SLE,73971,169771,691124,1158,[UYX;MHC]
BDJ,16264,22727,110243,98,[MHC;GIT;XKY;JWE]
XNW,91538,235103,926723,1701,[JWE;VPK;ITC;WML;VXI;ZLF]
GFA,33830,56519,255725,303,[ZLF;ROQ;NLM;PJP;CWL]
CQN,19104,27540,131906,124,[CWL;LEJ;FMZ;RDS;AYI]
LIS,51397,99913,428644,611,[AYI;LEM]
RKJ,68963,152905,628985,1022,[LEM;SGC;YCH;YIH]
ACO,11256,14852,73792,58,[YIH;PTJ;YKT;ZKG;NHF;MJY]
JUT,43548,79338,347994,461,[MJY;KCJ;GNC;VQA;DEY]
FFF,28823,45909,211462,234,[DEY;BWF]
OXK,61115,128043,536088,826,[BWF;CZT;SAJ;BIG]
KHX,46389,86564,376554,513,[BIG;WCU]
TZC,78682,186349,751612,1294,[WCU;NLI;SHZ;OPH;JGL;HQO]
DRG,20974,30846,146561,143,[HQO;YQH;XRI;JZC]
YCT,96248,254253,994557,1864,[JZC;VEY]
IUY,38541,67214,299405,376,[VEY;ECB;JQI;IDJ]
RMD,70833,159112,651926,1072,[IDJ;IWE]
NWP,56107,113180,479671,711,[IWE;DQQ;BAI;LXQ;NOH;TJV]
WPU,88400,222729,882625,1597,[TJV;MYO]
SZH,73674,168749,687376,1150,[MYO;HKZ]
BRL,15966,22237,108013,95,[HKZ;TYZ;EIF]
LJQ,48259,91457,395743,549,[EIF;HKC;JZW;PZM]
GUD,33533,55868,253037,299,[PZM;BEU]
QMH,65825,142735,591184,941,[BEU;PJC;KXE;TMB]
ZEM,98118,262046,1022033,1931,[TMB;KZX;MAY;TTR]
VOZ,83392,203615,814063,1437,[TTR;CDQ]
EGE,25685,39657,184857,195,[CDQ;FVY;YHS;SKU]
ARQ,10959,14410,71700,56,[SKU;XBQ;DMZ;XNC;GFG;WNP]
JJV,43251,78597,345050,455,[WNP;QJK;UKF;BHE;AOV]
SBA,75544,175229,711101,1202,[AOV;PUT]
OLM,60818,127140,532679,819,[PUT;CAH;RUU;ZTC]
YDR,93110,241418,949145,1755,[ZTC;VXI]
HVW,35403,60013,270090,326,[VXI;JVK;JUF]
DGJ,20677,30314,144212,140,[JUF;QTO;ZNQ;XEN]
MYN,52969,104265,445457,644,[XEN;GJZ]
IIA,38243,66517,296585,371,[GJZ;RCM;WGJ;LEA;UJF;IPR]
RAF,70536,158118,648261,1064,[IPR;PGK;RFW;KHU;SDJ]
ASK,12828,17240,84994,70,[SDJ;ICL;CGO;KQF;YQD]
WDW,88103,221573,878496,1587,[YQD;FYT]
FVB,30395,49156,225119,255,[FYT;HJR;XKD]
KXS,47962,90673,392674,543,[XKD;PGL;CZT;WBO]
UPX,80254,192035,772238,1340,[WBO;URQ]
QAK,65528,141788,587651,934,[URQ;DSQ;OKC;UGV]
ZSO,97821,260801,1017648,1920,[UGV;PBS]
IKT,40113,70937,314421,401,[PBS;TQB;CAB;POZ;XSS;FSP]
EUG,25387,39079,182377,192,[FSP;LWM;XKK;AWB;IYQ]
NML,57680,117764,497151,746,[IYQ;SOI;TJZ;OTH]
XEP,89972,228890,904609,1649,[OTH;UPF]
SPC,75246,174190,707302,1194,[EXY;UPF;KMF;LFX;NKG]
XRT,92813,240219,944892,1745,[NKG;EAG;TYZ;GVE]
HJY,35106,59348,267361,322,[GVE;VBZ]
QCD,67398,147794,610022,981,[VBZ;KJW;OBH]
MMQ,52672,103437,442263,637,[OBH;KQP;XNX;EHP]
VEU,84965,209534,835357,1486,[EHP;OWO]
EWZ,27257,42751,198076,214,[OWO;FKA;DIZ;KHS]
AHM,12531,16783,82861,67,[KHS;BBR;ZYZ;MQH]
KZQ,44824,82552,360731,484,[MQH;ZNO]
FJD,30098,48537,222522,251,[ZNO;TLC;WQH;LVP]
PBI,62390,131952,550808,856,[LVP;MKA]
YTN,94683,247813,971797,1809,[MKA;ZLQ;GSG;JRY;WBY;JGA]
UEZ,79957,190955,768324,1332,[JGA;QJN]
DWE,22249,33163,156731,156,[QJN;QUC;PWX;RHJ;KUB;JFV]
MOJ,54542,108695,462497,677,[JFV;OBF;VWG;RRT;XDU]
IYV,39816,70227,311567,396,[XDU;MDS;GMG;PBI;WKX]
RQA,72108,163406,667748,1106,[WKX;NSS]
NBN,57383,116893,493833,740,[NSS;SUZ;FNJ]
XTS,89675,227720,900438,1639,[FNJ;WFE;BYT;UWI]
GLW,31968,52482,239004,276,[UWI;FYQ]
CVJ,17242,24357,117622,107,[FYQ;HMX;HKQ;TAP]
LNO,49534,94856,409006,574,[TAP;ZJB]
UFT,81827,197801,793093,1388,[ZJB;HSL;MYF;KZI;JZY;HEF]
QQF,67101,146833,606447,974,[HEF;EAJ;IUH;VOZ;XSK]
ZIK,99393,267423,1040948,1977,[XSK;ODS;NXP;JOY]
VSX,84667,208407,831309,1476,[JOY;WKN]
EKB,26960,42160,195562,211,[WKN;LRU;FSP;TOP;EBN;SLW]
OCG,59252,122423,514841,782,[SLW;SXQ;SOW;ENX;CJX]
JNT,44526,81798,357745,478,[CJX;ZRW;JUD;QJB]
TFX,76819,179711,727456,1239,[QJB;LKX]
CXC,19111,27553,131960,124,[LKX;VKL;UJR;GGR;CBA;UBB]
YHP,94386,246599,967502,1799,[UBB;VDG;KUO]
HZU,36678,62902,281896,346,[KUO;MCT;XWH;MCO]
DKG,21952,32619,154349,153,[MCO;NOW;YTC;KHS;XMQ;GJH]
MCL,54245,107853,459262,671,[GJH;XPM;GZR;ARW;BYJ]
REC,71811,162401,664049,1098,[BYJ;XLR]
BWH,14104,19235,94248,80,[XLR;BFX;AGM;ADR]
KPM,46396,86582,376625,513,[ADR;AIF]
GZZ,31670,51847,236357,272,[SND;AIF;QJJ;SAB;UVA]
PRD,63963,136844,569166,895,[UVA;JNF;YOC;JHA]
LBQ,49237,94060,405904,568,[JHA;BSI;EGT;TVZ;TDR;EQM]
UUV,81529,196704,789128,1379,[EQM;HYU;MDS;NHZ;PTC]
DMZ,23822,36090,169477,173,[PTC;HMC;QUX;YIR;LSZ]
ZWM,99096,266166,1036529,1966,[LSZ;CKO]
JOR,41389,74014,326768,423,[CKO;LQY;EBH]
ORI,58955,121537,511482,775,[EBH;KMC;BBC;JEK]
XJN,91248,233947,922610,1691,[JEK;KAZ]
TTA,76522,178662,723633,1231,[KAZ;OIL;EXI;IIS]
CLE,18814,27037,129661,121,[IIS;PUF]
LDJ,51107,99119,425567,605,[PUF;UPS;SND;YSC;TXL;YES]
HOW,36381,62225,279133,341,[YES;QHM;KNE;UDD;MZC]
QGB,68673,151952,625454,1014,[MZC;HII;KKH;PDV]
AYF,10966,14420,71749,56,[PDV;FDW]
WIS,86240,214389,852781,1527,[FDW;IXX;OWI;KJF;RNU;APV]
BLJ,13807,18766,92081,77,[APV;HFS;BEZ;LUJ;SFM]
KDO,46099,85815,373605,507,[SFM;HUK;XGK;BBQ;EIP]
TVT,78391,185306,747822,1285,[EIP;GVM;JQX;VNJ;YQK;VUY]
PFG,63666,135914,565682,887,[VUY;OAW;YNI]
YXK,95958,253054,990323,1854,[YNI;VNA;PSG;NFD]
IPP,38251,66536,296659,371,[NFD;XKP]
DAC,23525,35531,167053,170,[XKP;DKX;GHR;WLO;FMP;IJJ]
NSG,55817,112343,476472,705,[IJJ;YKF;DYX;HOH;QGD]
ICT,41091,73291,323873,418,[QGD;AIF;RNN;GTO]
SUY,73384,167754,683724,1142,[GTO;UIW]
BMD,15676,21763,105849,93,[UIW;WFY;NAF;INU;RXS;AQF]
XXP,90950,232762,918396,1681,[AQF;YUM]
GPU,33243,55235,250420,294,[YUM;ZXL]
LRL,50809,98306,422414,599,[ZXL;JXO;XLO]
VJQ,83102,202531,810161,1428,[XLO;BRE;XPK;WGW]
QUD,68376,150979,621846,1007,[WGW;QEH]
AMI,10669,13980,69665,54,[QEH;UQS;JSV;GKA]
JEM,42961,77876,342182,450,[GKA;SLA;YJZ;EQP]
FOZ,28235,44714,206411,226,[EQP;BIM]
OHE,60528,126261,529359,812,[BIM;BBC;WMT;XID]
XZI,92820,240247,944992,1745,[XID;LPK;PVB;DVK;MNO;MCA]
TJV,78094,184243,743957,1276,[MCA;BGH;CXG;QFY;HVF]
DBA,20387,29797,141927,137,[HVF;AFS]
YLM,95661,251828,985994,1844,[AFS;HYQ;HYH;GAM]
IER,37953,65842,293847,366,[GAM;MLZ]
RWW,70246,157151,644690,1056,[MLZ;IME;PCN]
NGJ,55520,111489,473204,698,[PCN;IUE;YGO;IBL]
WYN,87812,220445,874462,1577,[IBL;ZDC]
FQS,30105,48551,222583,251,[ZDC;YLQ;APV;NWV;RPE;ARF]
BBF,15379,21279,103640,90,[ARF;MVQ;VAF;DVB;ZAP]
KTK,47672,89909,389685,537,[ZAP;NAU;JTP;KIZ;EXN]
GDW,32946,54589,247748,290,[EXN;ABX]
PVB,65238,140866,584209,926,[ABX;HRR;UBH]
VYS,82805,201425,806172,1418,[UBH;BVE;EFF;TQT]
EQX,25097,38520,179970,188,[TQT;BND]
NIC,57390,116913,493911,740,[XJB;BND;NOS]
JSP,42664,77141,339253,445,[NOS;FMQ;SVB]
SKT,74956,173181,703609,1186,[SVB;TKE]
OVG,60230,125360,525957,805,[TKE;CNE;SBO;VJM;IRU;HMD]
XNL,92523,239051,940746,1735,[HMD;PVT;HGM;QVQ;WWP]
HFP,34815,58698,264695,318,[WWP;QTJ;URU;IIJ]
CPC,20090,29270,139594,134,[IIJ;RJG]
MHH,52382,102631,439153,631,[RJG;RVI;IJC;YVG;ZFP;FHB]
VZM,84674,208434,831404,1477,[FHB;DKJ;PEE]
RKY,69949,156164,641041,1048,[PEE;YVM;NHD;NZF]
ACD,12241,16340,80786,65,[NZF;CJM;BWU;PCF;PGC;SWP]
WMQ,87515,219295,870349,1568,[SWP;KMO;WSY;OXS;TYR]
FEU,29808,47935,219993,247,[TYR;ROF]
PWZ,62100,131059,547447,849,[ROF;GZX;OIR;SCZ]
KHM,47374,89128,386624,531,[SCZ;BAO]
UZR,79667,189903,764510,1323,[BAO;YCK;ZUQ;DUC;HAZ;HVF]
DRV,21959,32631,154405,153,[HVF;IRS]
ZBI,97233,258345,1008992,1899,[IRS;QYA;ATV;JVV;CXJ;WGL]
IUN,39526,69538,308788,392,[WGL;ZXC;SMJ;RVR;QFE]
EEZ,24800,37949,177513,185,[QFE;KHV;AEK;BLJ;DRH]
NWE,57092,116042,490592,733,[DRH;MWV]
WOJ,89385,226580,896374,1629,[MWV;JJK;YQS]
SYV,74659,172149,699835,1177,[YQS;LVR;WPA;GSF]
CRA,16952,23870,115425,104,[GSF;KGD]
LJF,49244,94079,405977,568,[KGD;RJZ;MIY;EXN]
HTS,34518,58038,261981,313,[EXN;DSN]
QLW,66811,145897,602965,966,[DSN;YRZ;KNK;WKD;ITW;EUJ]
MWJ,52085,101808,435975,625,[EUJ;PRE;WGX;LNO;WXG]
VOO,84377,207313,827373,1467,[WXG;UKH;LSL;HDD]
EGT,26670,41586,193114,207,[HDD;DYM]
AQF,11944,15888,78668,63,[XXP;DYM;EGB;WHZ;EZO]
JIK,44236,81065,354845,473,[EZO;ZHR;AIB;QMV]
OLB,61803,130146,544013,842,[QMV;JCJ]
YDG,94095,245414,963306,1789,[JCJ;ZOD;IEJ]
UNT,79370,188828,760611,1314,[IEJ;RJG;BYK;OYG]
DFY,21662,32090,152031,150,[OYG;QWI]
MXC,53955,107032,456111,665,[QWI;OYS;XQJ;WTJ;ZHZ;UFZ]
IIP,39229,68834,305949,387,[UFZ;GAD;AHF]
RAU,71521,161423,660446,1090,[AHF;VYW;OYW;CUD]
BSY,13814,18777,92132,77,[CUD;LHZ;BKY;TES;TDU;GEY]
WCL,89088,225415,892219,1619,[GEY;IAM;OCO;UTH;ZNP]
GUQ,31380,51230,233788,268,[ZNP;KJQ]
BFC,16654,23374,113176,101,[KJQ;GCF;UXT;YSW]
LXH,48947,93285,402882,562,[YSW;DRR]
UPM,81239,195637,785273,1370,[DRR;ZFM;SFX;FGZ;RYM;WDH]
QZZ,66513,144938,599397,959,[WDH;MSJ]
ZRD,98806,264941,1032221,1956,[MSJ;VTT;QPU;OLH;GRL;TFB]
IJI,41098,73308,323941,418,[TFB;ENA;UZZ;XRG;EWT]
EUV,26373,41001,190615,203,[EWT;WMP;YFA;EPB;WPX]
JWM,43939,80318,351882,468,[WPX;PIN]
TOR,76232,177641,719908,1222,[PIN;FHF;MZI]
CHW,18524,26537,127424,118,[MZI;EIH;MQZ;VAI]
YRI,93798,244206,959027,1779,[VAI;CBP]
HJN,36091,61566,276442,337,[CBP;DHF;VAU;TFP]
QBS,68383,151002,621931,1007,[TFP;AWY]
MLE,53657,106193,452883,658,[AWY;BXW;DKA;NSP;MES;PJX]
VEJ,85950,213280,848805,1517,[PJX;CPI;UKH;GMF;AZU]
ROW,71224,160423,656762,1082,[AZU;IBC;UWF;AAT]
BGB,13516,18310,89966,75,[AAT;CLO]
KYF,45809,85068,370664,502,[CLO;STZ;VTO;AJS;QUO;LQQ]
GJS,31083,50602,231165,264,[LQQ;EUY;JAG;ONZ;NVU]
PBX,63375,135007,562279,880,[NVU;TLA;IVH;ASK;JGY]
YTC,95668,251857,986096,1844,[JGY;PSP;XST;QDR;KUJ;VYW]
UDO,80942,194548,781333,1361,[VYW;LPB;JXI]
DVT,23235,34989,164694,167,[JXI;KMU;NXH;KUI]
ZGG,98509,263689,1027817,1945,[KUI;ATB]
IYK,40801,72590,321061,413,[ATB;GBU;RSR;TBR;HVG;LDX]
SQP,73094,166761,680080,1134,[LDX;WFB;GRN;CQN;KJH]
NAC,58368,119794,504865,762,[KJH;OWZ;DBM;RPM]
XSH,90660,231611,914299,1672,[RPM;VRS]
GKL,32953,54604,247811,290,[VRS;RGE;LFG;TYT;HZM;QPU]
CVY,18227,26027,125140,116,[QPU;VJR]
LND,50519,97517,419352,593,[VJR;WOO]
HXP,35794,60894,273695,332,[WOO;ZWD;SBX]
QPU,68086,150032,618331,999,[SBX;JEF;HPK;TVC]
AHZ,10378,13552,67631,52,[TVC;SXC]
VSL,85653,212147,844740,1508,[SXC;CZV;CJH;WYR]
FKQ,27945,44129,203930,223,[WYR;SGR;IFC;CFU]
OCV,60238,125384,526046,805,[CFU;YYP]
KMI,45512,84306,367660,496,[YYP;VIE;WGM;TOH]
TEM,77804,183208,740191,1268,[TOH;FGR;GUQ;FOF;FPZ;SZK]
PPZ,63078,134083,558811,873,[ESK;SZK;ZVN;LXL]
YHE,95371,250634,981775,1833,[LXL;KHJ;SSC;CYN;DQR;DEL]
HZJ,37663,65169,291116,361,[DEL;RWK;STH;JQB;RXB]
DJV,22937,34434,162279,164,[RXB;MPO;BRX;PIV]
NBA,55230,110657,470020,692,[PIV;CAQ]
WUF,87522,219322,870446,1568,[CAQ;UZA;VVY;OPQ;QKB;BLY]
SER,72796,165744,676345,1125,[BLY;YSN;XTA;XWM;OPE]
BWW,15089,20810,101491,88,[OPE;SYC;CKA;WRA;CMS]
XGJ,90363,230434,910110,1662,[CMS;LMX]
GYO,32656,53961,245146,286,[LMX;HLK;PRP]
PRS,64948,139946,580775,919,[PRP;BRV;TEZ;AXD]
LBF,50222,96711,416223,587,[AXD;ASY]
UTK,82515,200347,802284,1409,[ASY;AZN;OYT;ZCL]
ELO,24807,37963,177571,185,[ZCL;PQH]
AWB,10081,13118,65563,50,[PQH;MJG;LDX;QMQ;UHN;DEF]
JOG,42374,76425,336400,440,[DEF;EYK;MNB;CER;LWC]
FYS,27648,43532,201398,219,[LWC;EJX;PKU;GXO]
OQX,59940,124486,522652,798,[GXO;JBP]
XIC,92233,237885,936608,1725,[JBP;BEP;FBZ;OJX;KGK;VGQ]
TTP,77507,182150,736342,1259,[VGQ;YZL;AOE]
CLT,19799,28756,137316,131,[AOE;EBB;SPQ;ANZ]
MDY,52092,101827,436050,625,[ANZ;KUP;MSR;WYR;IVJ;PBU]
HNL,37366,64482,288326,357,[PBU;QVW;SWE;XTV;RNW]
MQC,54933,109808,466767,686,[RNW;SUW]
WIH,87225,218174,866340,1558,[SUW;KJI;MNS;QRE]
FAM,29518,47335,217472,243,[QRE;QDF]
BKY,14792,20332,99298,85,[QDF;KLM;MUI;DZY;PNA;OCP]
KCD,47084,88370,383650,526,[OCP;AVA]
UUI,79377,188853,760703,1314,[AVA;JMH;YIA;KOQ;VOU;SKR]
PFU,64651,139008,577265,912,[SKR;WMH;MPO;GUL;OKF]
ZXZ,96943,257137,1004733,1889,[OKF;CVH;WJQ;RKY;OOF]
UHM,82217,199243,798301,1400,[OOF;EKH]
EZR,24510,37395,175121,181,[EKH;KDD;TGB]
NRV,56802,115196,487368,727,[TGB;DNB;BNI;NAQ]
JCI,42077,75695,333487,435,[NAQ;VRD]
SUN,74369,171145,696158,1169,[VRD;SNX;IOC;LEX]
BMS,16661,23385,113229,101,[LEX;CML]
XWE,91936,236694,932378,1715,[CML;TTG;VJI;MYU;AXE;XWS]
GOJ,34228,57396,259339,309,[XWS;SOS;VKA;XXP;CGP]
CZW,19502,28235,134999,128,[CGP;CFO;SPR;SZA]
MRA,51795,101007,432880,619,[SZA;ZEQ]
