Company,NET Income,Operating Income,Total Assets,Number of Employees,Buyers
FIR,1392,2196,10152,249,[KGX;DKA;FNP;ZQE]
ATD,656,884,4355,74,[ZQE;NVB;LED;IBF;OTH]
KLI,2271,4203,18336,584,[JNR;OTH;IXW;XHD]
TDN,3885,9142,36944,1557,[CWO;XHD;LMZ;FQP;GSD]
PNA,3149,6689,27884,1056,[UTR;GSD;AVT]
YFE,4764,12513,49023,2282,[NLL;AVT]
HXJ,1878,3246,14508,417,[WCI;AVT]
DIW,1142,1712,8075,179,[WLQ;AVT]
NAB,2757,5520,23451,828,[AVT;GNV;DLW]
IKN,2020,3581,15860,475,[BAQ]
SCS,3635,8271,33758,1376,[DLW;CTZ]
BVX,750,1033,5041,91,[CTZ;PZV;EJC;YMR;EET;LAR]
XFJ,4513,11502,45435,2061,[LAR;AKX;NQU;HTJ]
GXO,1628,2687,12214,326,[HTJ;JVY]
PPT,3242,6981,28977,1114,[JVY;PNA;JRP;GOR]
LAG,2506,4822,20759,697,[GOR;FXT]
USK,4121,10000,40051,1738,[BPB;FXT;GKI;HMW;BQM]
QCX,3385,7438,30683,1206,[YBF;BQM;HIO]
ZUC,4999,13496,52487,2499,[KPR;HIO;EFP;YJF;QTO]
JMG,2114,3809,16774,514,[QTO;TOJ;ZGL]
FXT,1377,2166,10025,245,[USK;ZGL;FYM]
OPY,2992,6209,26077,962,[DIH;FYM;VMO;ISL;OKN]
XHD,4607,11875,46765,2142,[OKN;SFH;KPR;ETG]
TRP,3870,9089,36750,1546,[ETG;TDN;GIK;BMZ]
CJU,985,1429,6827,141,[QKI]
YUH,4749,12451,48806,2268,[BMZ;COO]
HML,1863,3212,14368,412,[COO;IGQ;CKF;EMT]
REQ,3478,7744,31815,1268,[AAC;EMT;YPJ;ZDY;AFM]
MOD,2742,5477,23288,820,[AFM;UIC;AAE;XYF]
WGI,4356,10889,43247,1928,[DJS]
FYM,1471,2356,10831,274,[XYF;WGI]
BJZ,735,1009,4931,88,[QAE;WGI;JME;DPU;SZA]
KBE,2349,4405,19130,621,[SZA;LKK;FNA;BLB]
GLQ,1613,2655,12081,320,[KWE]
PDV,3228,6936,28809,1105,[BLB;HDD]
ZVA,4842,12836,50164,2353,[HQU;HDD]
UGM,4106,9944,39851,1726,[GEM;HDD]
EYR,1221,1861,8719,200,[DYC;HDD]
NQW,2835,5745,24313,872,[HDD;BGS;DIH]
JAJ,2099,3773,16627,508,[DIH;XMW;DEY;ABA]
SSN,3714,8541,34751,1432,[ABA;ZKC]
ODA,2977,6164,25907,953,[ZKC;ZXR;BZF;VDV;BVX;RIZ]
XVF,4592,11816,46552,2129,[FIE;RIZ;EOW;KGX]
GNK,1706,2858,12919,353,[KGX;NBS;TTU;LED]
CXW,970,1403,6710,137,[LED;PZX;CFU;WIK;YKY;ECA]
MPB,2585,5037,21594,737,[DZN;ECA;YGP;NQW]
VIG,4199,10292,41103,1800,[NQW;AVT;UZI;WBX;QFM;WXO]
RSS,3463,7694,31632,1258,[WXO;TUQ;SCS;FIP;USV]
AKX,578,765,3797,61,[RUV;USV;OVL;UNN]
WUK,4341,10832,43041,1916,[ZQE;UNN;BJK;QTR]
FNP,1456,2326,10702,269,[TDL;QTR;DZN;XCD;ZFR]
OFT,3071,6448,26980,1008,[ZFR;FXT;ZAJ;VYK]
KPG,2334,4366,18977,614,[SAL]
THL,3949,9371,37777,1605,[SJU]
DZP,1064,1569,7449,159,[VYK;UGM]
ZKC,4827,12774,49945,2339,[STJ;UGM;VTB;XVQ;RZF]
ICH,1942,3396,15113,443,[LDG;RZF;XRH]
EMT,1206,1832,8596,196,[XRH;TOJ;OSY;GCI;AGX;PQE]
NEY,2820,5702,24147,863,[PQE;VIG;BDD;YBF]
WWD,4435,11195,44341,1994,[YBF;ETG]
SHQ,3699,8490,34562,1421,[OKA;ETG;YWW]
BZU,813,1136,5511,103,[GEB;YWW]
LRZ,2428,4613,19943,658,[YWW;AZK;UCA]
GBM,1692,2827,12790,348,[STY;UCA;ZUC]
QTR,3306,7184,29737,1155,[LCV;ZUC;WSD;QVT;WNV]
LED,2570,4996,21434,729,[PEG;WNV;YPJ]
VWI,4185,10238,40910,1789,[YPJ;STY;FYV;NZC;OMR;HWB]
EON,1299,2011,9366,222,[ZXC;HWB;KSV]
AYZ,563,743,3691,59,[KSV;QKX;DPU]
